"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"F5RV5KYL","book","2009","Fry, Karin A.","Arendt : a guide for the perplexed","","9786612871252","","","","Hannah Arendt is considered to be one of the most influential political thinkers of the twentieth century. Although her writing is somewhat clear, the enormous breadth of her work places particular demands on the student coming to her thought for the first time. Arendt: A Guide for the Perplexed provides a clear, concise and accessible introduction to this hugely important political thinker. The book examines the most important themes of Hannah Arendt's work, as well as the main controversies surrounding it. Karin Fry explores the systematic nature of Arendt's political thought that arose in r","2009","2026-02-02 18:47:40","2026-02-02 18:50:40","","","","","","","","","Continuum guides for the perplexed","","","","Continuum","London ;","eng","","","","","","","Publication Title: Arendt : a guide for the perplexed","","","","Arendt Hannah 1906-1975","","","","","","","","","","","","","","","","","","","","","1st ed.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SL9P35DD","book","2015","Sjöholm, Cecilia; Hamm, Lisa","How to see things : doing aesthetics with Arendt","","978-0-231-53990-6","","","","Cecilia Sjöholm reads Hannah Arendt as a philosopher of the senses, grappling with questions of vision, hearing, and touch even in her political work. Constructing an Arendtian theory of aesthetics from the philosopher's fragmentary writings on art and perception, Sjöholm begins a vibrant new chapter in Arendt scholarship that expands her relevance for contemporary philosophers. Arendt wrote thoughtfully about the role of sensibility and aesthetic judgment in political life and on the power of art to enrich human experience. Sjöholm draws a clear line from Arendt's consideration of these subjects to her reflections on aesthetic encounters and works of art mentioned in her published writings and stored among her memorabilia. This delicate effort allows Sjöholm to revisit Arendt's political concepts of freedom, plurality, and judgment from an aesthetic point of view and incorporate Arendt's insight into current discussions of literature, music, theater, and visual art. Though Arendt did not explicitly outline an aesthetics, Sjöholm's work substantively incorporates her perspective into contemporary reckonings with radical politics and their relationship to art.","2015","2026-02-02 18:47:40","2026-02-02 18:51:18","","","","","","","","","Columbia Themes in Philosophy, Social Criticism, and the Arts","","","","Columbia University Press","New York, [New York","eng","","","","","","","Publication Title: How to see things : doing aesthetics with Arendt","","","","Arendt Hannah 1906-1975; Aesthetics; Art – Philosophy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EPBU7MHJ","book","2006","Young-Bruehl, Elisabeth.","Why Arendt matters","","1-281-72304-5","","","","Upon publication of her ""field manual,"" The Origins of Totalitarianism, in 1951, Hannah Arendt immediately gained recognition as a major political analyst. Over the next twenty-five years, she wrote ten more books and developed a set of ideas that profoundly influenced the way America and Europe addressed the central questions and dilemmas of World War II. In this concise book, Elisabeth Young-Bruehl introduces her mentor's work to twenty-first-century readers. Arendt's ideas, as much today as in her own lifetime, illuminate those issues that perplex us, such as totalitarianism, terrorism, globalization, war, and ""radical evil. ""Elisabeth Young-Bruehl, who was Arendt's doctoral student in the early 1970's and who wrote the definitive biography of her mentor in 1982, now revisits Arendt's major works and seminal ideas. Young-Bruehl considers what Arendt's analysis of the totalitarianism of Nazi Germany and the Stalinist Soviet Union can teach us about our own times, and how her revolutionary understanding of political action is connected to forgiveness and making promises for the future. The author also discusses The Life of the Mind, Arendt's unfinished meditation on how to think about thinking. Placed in the context of today's political landscape, Arendt's ideas take on a new immediacy and importance. They require our attention, Young-Bruehl shows, and continue to bring fresh truths to light.","2006","2026-02-02 18:47:40","2026-02-02 18:53:08","","","","","","","","","Why X matters","","","","Yale University Press","New Haven","eng","","","","","","","Publication Title: Why Arendt matters LCCN: 2006018235","","","","Arendt Hannah 1906-1975 – Political and social views; Political science – Philosophy; Totalitarianism","","","","","","","","","","","","","","","","","","","","","1st ed.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZRI8EI9X","book","2017","Cochran, Patricia","Common sense and legal judgment : community knowledge, political power, and rhetorical practice","","978-0-7735-5231-9","","","","What does it mean when a judge in a court of law uses the phrase “common sense”? Is it a type of evidence or a mode of reasoning? In a world characterized by material and political inequalities, whose common sense should inform the law? Common Sense and Legal Judgment explores this rhetorically powerful phrase, arguing that common sense, when invoked in political and legal discourses without adequate reflection, poses a threat to the quality and legitimacy of legal judgment. Often operating in the service of conservatism, populism, or majoritarianism, common sense can harbour stereotypes, reproduce unjust power relations, and silence marginalized people. Nevertheless, drawing the works of theorists such as Thomas Reid, Antonio Gramsci, and Hannah Arendt into conversation with rulings by the Supreme Court of Canada, Patricia Cochran demonstrates that with careful attention, the democratic, egalitarian, and community-sustaining aspects of common sense can be brought to light. A call for critical self-reflection and the close scrutiny of power relationships and social contexts, this book is a direct response to social justice predicaments and their confounding relationships to law. Creative and interdisciplinary, Common Sense and Legal Judgment reinvigorates feminist and anti-poverty understandings of judgment, knowledge, justice, and accountability.","2017","2026-02-02 18:47:40","2026-02-02 18:50:45","","","","","","","","","","","","","McGill-Queen's University Press","Montreal, [Quebec Province","eng","","","","","","","Publication Title: Common sense and legal judgment : community knowledge, political power, and rhetorical practice","","","","Common sense; Judgment; Justice","","","","","","","","","","","","","","","","","","","","","1st ed.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CTYL3FPH","book","2019","Reinhardt, , Mark","The Art of Being Free : Taking Liberties with Tocquevile, Marx, and Arendt","","978-1-5017-4306-1","","","","The ""art of being free"" is an essential part of democracy. It involves, Mark Reinhardt believes, bringing into being the multiple spaces in and practices through which individuals and groups help to constitute their lives, their selves, their worlds. Americans are presently witnessing a contraction of officially sanctioned spaces for citizen action. It is now crucial, Reinhardt argues, to identify ways of opening new spaces for the direct practice of democratic politics.Reinhardt treats the writings of Alexis de Tocqueville, Karl Marx, and Hannah Arendt as exemplary sources for an expansion of political possibility. These writers indicate where and how the new spaces can be brought into being, and they reveal acts of making space as some of the prime moments of politics. Reinhardt's extended readings of these writers, never previously treated together, are quite unlike the familiar understandings of their thought. ""Taking liberties,"" he brings the literary and political sensibility usually associated with postmodernism to a sympathetic if critical encounter with eminently modern thinkers. The result is a strong and idiosyncratic book, accessible and stylish, that mixes acute readings of canonical thinkers with more practical applications and illustrations. Reinhardt combines attention to textual detail and nuance with concern for contemporary politics, discussing as an unusually inventive example the AIDS activist group ACT UP.","2019","2026-02-02 18:47:40","2026-02-02 18:51:36","","","","","","","","","Contestations","","","","Cornell University Press,","Ithaca, NY","eng","","","","","","","Publication Title: The Art of Being Free : Taking Liberties with Tocquevile, Marx, and Arendt","","","","Arendt Hannah 1906-1975; Marx Karl 1818-1883; PHILOSOPHY / Free Will & Determinism; Tocqueville Alexis de 1805-1859","","","","","","","","","","","","","","","","","","","","","1st ed.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SGI8LG93","book","1968","Benjamin, Walter","Illuminations.","","","","","","","1968","2026-02-02 18:47:40","2026-02-02 18:51:21","","","","","","","","","","","","","Harcourt, Brace & World","New York","eng","","","","","","","LCCN: 68024382 //r873","","","","Literature – History and criticism","","","","","","","","","","","","","","","","","","","","","[1st ed.]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T2NWCARP","book","2018","Gunter, Helen","The politics of public education : reform ideas and issues","","978-1-4473-3960-1","","","","This book critically examines the key issues facing the public with implications for education policy makers, professionals and researchers, confronting current issues about social justice and segregation. The author uses Arendtian ideas to help the reader to 'think politically' about education and how public services education can be reimagined.","2018","2026-02-02 18:47:41","2026-02-02 18:52:51","","","","","","","","","Policy Press scholarship online","","","","Policy Press","Bristol","eng","","","","","","","Publication Title: The politics of public education : reform ideas and issues","","","","Arendt Hannah 1906-1975; Education and state – Philosophy","","","","","","","","","","","","","","","","","","","","","1st ed.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W384JCKX","book","2025","Rojahn, Pia","Hannah Arendts Pädagogik : Eine Bildungstheorie für die Lehrkräftebildung","","3-96665-895-X","","","","Das Buch trägt bereits im Titel seine erste These: In Hannah Arendts Werk verbirgt sich eine Pädagogik. Exemplarisch analysiert die Autorin Arendts Konzepte Natalität, Urteilskraft und (Un-)Zugehörigkeit und arbeitet ihre Bedeutung für die Erziehungswissenschaft heraus. Mit diesen Konzepten lassen sich aktuelle Entwicklungen in der Lehrkräftebildung kritisieren und zugleich sinnvolle bildungstheoretische Alternativen aufzeigen. The book's title already contains its first thesis: Hannah Arendt's work contains a pedagogy.. As an example, the author analyses Arendt's concepts of natality, power of judgement and (dis-)belonging, which are important for pedagogy and take it further. With these pedagogical elements, current developments in teacher training can be criticised and at the same time Arendt's concepts can be used to demonstrate meaningful educational theory alternatives.","2025","2026-02-02 18:47:41","2026-02-02 18:51:16","","","","","","","","","","","","","Barbara Budrich Academic Press GmbH","Leverkusen","ger","","","","","","","Publication Title: Hannah Arendts Pädagogik : Eine Bildungstheorie für die Lehrkräftebildung","","","","affiliation; Bildungstheorie; educational theory; Lehrkräftebildung; Natalität; natality; political education; politische Bildung; power of judgement; professionalism; Professionalität; teacher education; Urteilskraft; Zugehörigkeit","","","","","","","","","","","","","","","","","","","","","1st ed.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U6M5FSJM","book","2012","Nixon, Jon","Interpretive pedagogies for higher education : Arendt, Berger, Said, Nussbaum and their legacies","","978-1-4411-1715-1","","","","","2012","2026-02-02 18:47:41","2026-02-02 18:51:24","","","","","","","","","","","","","Continuum International Pub. Group","London ;","eng","","","","","","","Publication Title: Interpretive pedagogies for higher education : Arendt, Berger, Said, Nussbaum and their legacies LCCN: 2011042163","","","","Arendt Hannah 1906-1975; Berger John; Education Higher – Aims and objectives; Education Higher – Philosophy; Nussbaum Martha C (Martha Craven) 1947-; Said Edward W","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NBTVLYWC","book","2023","Gunter, Helen","A political sociology of education policy","","1-4473-6337-X","","","","This book aims to restore the role of political analysis in education policy by presenting a new political sociology for framing, conducting and presenting research. In doing so, it will be the first in the field to connect political thinking from Arendt with sociological thinking from Bourdieu.","2023","2026-02-02 18:47:41","2026-02-02 18:47:41","","","","","","","","","","","","","Policy Press","Bristol","eng","","","","","","","Publication Title: A political sociology of education policy","","","","Arendt Hannah 1906-1975; Bourdieu Pierre 1930-2002; Education – Philosophy; Education and state; Education and state – Social aspects","","","","","","","","","","","","","","","","","","","","","1st ed.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BT458EHQ","book","2016","Benjamin, Andrew E.","Virtue in being : towards an ethics of the unconditioned","","978-1-4384-6163-2","","","","In his last book, Towards a Relational Ontology, Andrew Benjamin provided a philosophical account of what he terms anoriginal relationality, demonstrating how this concept can be seen to be at work throughout the history of philosophy. In Virtue in Being, he builds on that project to argue for a new way of understanding the relationship between ontology and ethics through insightful readings of texts by Immanuel Kant, Hannah Arendt, and Jacques Derrida. Structuring the book around the themes of violence, evil, and pardon, Benjamin builds a convincing case for the connections he draws between thinkers not commonly associated with one another.","2016","2026-02-02 18:47:41","2026-02-02 18:53:06","","","","","","","","","SUNY Series in Contemporary Continental Philosophy","","","","State University of New York Press","Albany, [New York","eng","","","","","","","Publication Title: Virtue in being : towards an ethics of the unconditioned","","","","Ethics; Philosophical anthropology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5PXWJR58","book","2008","Stivers, Camilla.","Governance in dark times : practical philosophy for public service","","978-1-58901-334-6","","","","With the rush of calamitous events in recent years-the September 11 terror attacks, the Iraq imbroglio, and hurricanes Katrina and Rita-Americans feel themselves to be living in dark times. Trust in one another and in the government is at low ebb. People in public service face profound challenges to the meaning and efficacy of their work. Where can a public servant turn for a public philosophy to sustain practice?Inspired by Hannah Arendt and several other philosophers, Governance in Dark Times is the first book to explore the philosophical and value underpinnings needed to guide public servan","2008","2026-02-02 18:47:41","2026-02-02 18:50:56","","","","","","","","","","","","","Georgetown University Press","Washington, D.C","eng","","","","","","","Publication Title: Governance in dark times : practical philosophy for public service","","","","Public administration; Public administration – Philosophy","","","","","","","","","","","","","","","","","","","","","1st ed.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"93TKLFWD","book","2018","Norris, , Trevor","Consuming Schools : Commercialism and the End of Politics","","1-4426-6030-9","","","","First linking the origins of consumerism to important political and philosophical thinkers, Trevor Norris goes on to closely examine the distinction between the public and the private sphere through the lens of twentieth-century intellectuals Hannah Arendt and Jean Baudrillard. Through Arendt's account of the human activities of labour, work, and action, and the ensuing eclipse of the public realm and Baudrillard's consideration of the visual character of consumerism, Norris examines how school commercialism has been critically engaged by in-class activities such as media literacy programs and educational policies regulating school-business partnerships.""–Pub. desc","2018","2026-02-02 18:47:41","2026-02-02 18:50:48","","","","","","","","","","","","","University of Toronto Press,","Toronto","eng","","","","","","","Publication Title: Consuming Schools : Commercialism and the End of Politics","","","","Business and education; Commercialism in schools; Consumption (Economics) – Political aspects; Consumption (Economics) – Social aspects","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NYLPWTC5","book","2020","Pettman, Dominic","The Humid Condition (More) Overheated Observations","","1-950192-72-5","","","","The Humid Condition: (More) Overheated Observations continues on the clicking heels of Dominic Pettman's Humid, All Too Humid (2016), providing a companion volume of pithy and witty observations for our overheated age. Covering topics from pop culture to academia to romance to politics to human mortality to everything in between, this collection of pointed musings aims to amuse, edify, instruct, provoke, tease, caution, and inspire. As with the first installment, the spirit of this book represents a fusion of Montaigne and Wilde; a mashup of Adorno and Yogi Berra; a parallel channeling of Marx and Marx (both Karl and Groucho). No doubt, Hannah Arendt would be appalled at the irreverence on display within these pages. Then again, “Heidegger has left the bildung.” And as the author himself notes: “I have nothing new to say. And I'm saying it!”","2020","2026-02-02 18:47:41","2026-02-02 18:52:46","","","","","","","","","","","","","punctum books","Brooklyn, NY","und;eng","","","","","","","","","","","Literature (General)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FJYBVUK3","book","2011","Allen, Felicity","Education","","978-0-262-51636-5","","","","This title presents an anthology of texts which frames the recent educational turn in the arts within a wider historical and social context","2011","2026-02-02 18:47:41","2026-02-02 18:50:51","","","","","","","","","Documents of contemporary art","","","","Whitechapel Gallery","London","eng","","","","","","","Publication Title: Education LCCN: 2011011786","","","","Art – Study and teaching – History – 20th century; Art – Study and teaching – History – 21st century; Art and society – History – 20th century; Art and society – History – 21st century","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FJB6HJ3G","book","2023","Culp, Julian; Drerup, Johannes; Yacek, Douglas W.","The Cambridge handbook of democratic education","","978-1-009-07153-6","","","https://go.openathens.net/redirector/wcu.edu?url=https://www.cambridge.org/core/books/cambridge-handbook-of-democratic-education/C7909F00E17CC7FEE24B2C139D65250A","""The Cambridge Handbook of Democratic Education What kind of education is needed for democracy? How can education respond to the challenges that current democracies face? This unprecedented Handbook offers a comprehensive overview of the most important ideas, issues, and thinkers within democratic education. Its thirty chapters are written by leading experts in the field in an accessible format. Its breadth of purpose and depth of analysis will appeal to both researchers and practitioners in education and politics. The Handbook addresses not only the historical roots and philosophical foundations of democratic education, but also engages with contemporary political issues and key challenges to the project of democratic education.""– Provided by publisher.","2023","2026-02-02 18:47:41","2026-02-02 18:51:38","","","","","","","","","Cambridge Handbooks in Education.","","","","Cambridge University Press","Cambridge, United Kingdom ;","eng","","","","","","","Publication Title: The Cambridge handbook of democratic education LCCN: 2022050939","","","","Democracy and education; Education – Aims and objectives","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FQFF5BHN","book","2022","Wilkinson, Alissa","Salty : lessons on eating, drinking, and living from revolutionary women","","978-1-5064-7355-0","","","","""If you could have a dinner party with anyone dead or alive, who would it be? That's the question film critic and food writer Alissa Wilkinson answered as she gathered a hypothetical table of women who challenged norms and defied conventional wisdom. Ella Baker, Alice B. Toklas, Hannah Arendt, Octavia Butler, Agnes Varda, Elizabeth David, Edna Lewis, Maya Angelou, Laurie Colwin: these smart, engaging, revolutionary, and creative twentieth-century women were all profoundly influenced by their own relationships to food, drink, and other elements of sustenance. In Salty, Wilkinson explores the ways food managed to root these women into their various callings. For some, it was cultivating perseverance in the face of hardship. For others, it was nurturing a freedom to act, even in the face of opposition, toward justice and equality. For others, it was an examination of what it means to be human with all its desire, heartbreak, sacrifice, isolation, and liberty. Salty is Alissa Wilkinson's invitation to you. Join these sharp, empowered, and often subversive women and discover how to live with courage, agency, grace, smarts, snark, saltiness, and sometimes feasting–even in uncertain times. Ultimately you will leave this table with a greater understanding of food, drink, gathering, thinking, loving, and navigating the world.""– Provided by publisher","2022","2026-02-02 18:47:42","2026-02-02 18:51:30","","","","","","","","","","","","","Broadleaf Books, an imprint of 1517 Media","Minneapolis, MN","eng","","","","","","","Publication Title: Salty : lessons on eating, drinking, and living from revolutionary women","","","","Dinners and dining – History; Food – Social aspects; Food habits; Food writing; Women – Conduct of life; Women$$QWomen – Biography","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HSFG59BY","book","2004","Benhabib, Seyla","The rights of others : aliens, residents and citizens","","1-107-16062-6","","","","The Rights of Others examines the boundaries of political community by focusing on political membership - the principles and practices for incorporating aliens and strangers, immigrants and newcomers, refugees and asylum seekers into existing polities. Boundaries define some as members, others as aliens. But when state sovereignty is becoming frayed, and national citizenship is unravelling, definitions of political membership become much less clear. Indeed few issues in world politics today are more important, or more troubling. In her Seeley Lectures, the distinguished political theorist Seyla Benhabib makes a powerful plea, echoing Immanuel Kant, for moral universalism and cosmopolitan federalism. She advocates not open but porous boundaries, recognising both the admittance rights of refugees and asylum seekers, but also the regulatory rights of democracies. The Rights of Others is a major intervention in contemporary political theory, of interest to large numbers of students and specialists in politics, law, philosophy and international relations.","2004","2026-02-02 18:47:42","2026-02-02 18:52:53","","","","","","","","","The Seeley lectures ; 5","","","","Cambridge University Press","Cambridge","eng","","","","","","","Publication Title: The rights of others : aliens, residents and citizens","","","","Citizenship; Emigration and immigration; Immigrants – Civil rights; Internationalism; Noncitizens – Civil rights; Political rights; Refugees – Civil rights","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
